Date,Product_Name,Brand,Category_Type,Price_INR,Marketing_Spend_INR,Event_Type,Units_Sold
2024-02-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2839.0,Wedding Season,156
2024-02-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2563.0,Wedding Season,171
2024-02-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2565.0,Wedding Season,200
2024-02-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2284.0,Wedding Season,223
2024-02-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1228.0,Wedding Season,160
2024-02-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4484.0,Wedding Season,168
2024-02-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1215.0,Wedding Season,178
2024-02-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4540.0,Wedding Season,177
2024-03-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1637.0,Normal Day,166
2024-03-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3622.0,Normal Day,199
2024-03-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2492.0,Normal Day,212
2024-03-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2555.0,Normal Day,165
2024-03-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3319.0,Normal Day,158
2024-03-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1317.0,Normal Day,139
2024-03-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3518.0,Normal Day,171
2024-03-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1453.0,Normal Day,135
2024-03-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3835.0,Normal Day,184
2024-03-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4292.0,Normal Day,206
2024-03-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3985.0,Normal Day,175
2024-03-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2101.0,Normal Day,156
2024-03-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4625.0,Normal Day,170
2024-03-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1675.0,Normal Day,166
2024-03-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1445.0,Normal Day,156
2024-03-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1763.0,Normal Day,187
2024-03-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2613.0,Normal Day,218
2024-03-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1680.0,Normal Day,173
2024-03-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4758.0,Normal Day,157
2024-03-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3643.0,Normal Day,182
2024-03-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1905.0,Normal Day,177
2024-03-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1346.0,Normal Day,174
2024-03-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2777.0,Normal Day,201
2024-03-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1506.0,Normal Day,224
2024-03-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3531.0,Holi,204
2024-03-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4540.0,Normal Day,176
2024-03-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2956.0,Normal Day,169
2024-03-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2740.0,Normal Day,164
2024-03-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2461.0,Normal Day,172
2024-03-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2133.0,Normal Day,180
2024-03-31,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1066.0,Normal Day,217
2024-04-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1773.0,Normal Day,158
2024-04-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3702.0,Normal Day,164
2024-04-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4463.0,Normal Day,168
2024-04-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3548.0,Normal Day,171
2024-04-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3823.0,Normal Day,177
2024-04-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4408.0,Normal Day,192
2024-04-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2799.0,Normal Day,193
2024-04-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1002.0,Normal Day,165
2024-04-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3402.0,Normal Day,166
2024-04-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3342.0,Normal Day,161
2024-04-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3920.0,Normal Day,149
2024-04-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4076.0,Normal Day,176
2024-04-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4247.0,Normal Day,183
2024-04-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1179.0,Normal Day,206
2024-04-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2137.0,Normal Day,167
2024-04-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3029.0,Normal Day,171
2024-04-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2938.0,Normal Day,169
2024-04-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4255.0,Normal Day,167
2024-04-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3385.0,Normal Day,170
2024-04-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1348.0,Normal Day,210
2024-04-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4504.0,Normal Day,210
2024-04-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1314.0,Normal Day,167
2024-04-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2897.0,Normal Day,162
2024-04-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2959.0,Normal Day,162
2024-04-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3866.0,Normal Day,157
2024-04-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2291.0,Normal Day,161
2024-04-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3620.0,Normal Day,190
2024-04-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1148.0,Normal Day,209
2024-04-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2649.0,Normal Day,157
2024-04-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3876.0,Normal Day,166
2024-05-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3201.0,Wedding Season,185
2024-05-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4650.0,Wedding Season,190
2024-05-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2657.0,Wedding Season,187
2024-05-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3637.0,Wedding Season,221
2024-05-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1524.0,Wedding Season,235
2024-05-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4939.0,Wedding Season,212
2024-05-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2973.0,Wedding Season,194
2024-05-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4816.0,Wedding Season,194
2024-05-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3400.0,Wedding Season,207
2024-05-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4273.0,Wedding Season,179
2024-05-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4491.0,Wedding Season,219
2024-05-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3615.0,Wedding Season,243
2024-05-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4371.0,Wedding Season,190
2024-05-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2657.0,Wedding Season,205
2024-05-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2657.0,Wedding Season,199
2024-05-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3732.0,Wedding Season,177
2024-05-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1872.0,Wedding Season,199
2024-05-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2573.0,Wedding Season,210
2024-05-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2391.0,Wedding Season,230
2024-05-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3203.0,Wedding Season,190
2024-05-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4031.0,Wedding Season,207
2024-05-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2902.0,Wedding Season,171
2024-05-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4048.0,Wedding Season,204
2024-05-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1277.0,Wedding Season,194
2024-05-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1150.0,Wedding Season,209
2024-05-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4086.0,Wedding Season,240
2024-05-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2076.0,Wedding Season,183
2024-05-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3272.0,Wedding Season,185
2024-05-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4454.0,Wedding Season,202
2024-05-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1527.0,Wedding Season,192
2024-05-31,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3474.0,Wedding Season,182
2024-06-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4360.0,Wedding Season,238
2024-06-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2175.0,Wedding Season,233
2024-06-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4381.0,Wedding Season,191
2024-06-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3136.0,Wedding Season,188
2024-06-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1556.0,Wedding Season,187
2024-06-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4816.0,Wedding Season,197
2024-06-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1204.0,Wedding Season,190
2024-06-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3494.0,Wedding Season,220
2024-06-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1590.0,Wedding Season,230
2024-06-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3383.0,Wedding Season,179
2024-06-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1517.0,Wedding Season,188
2024-06-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4741.0,Wedding Season,187
2024-06-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1683.0,Wedding Season,180
2024-06-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1749.0,Wedding Season,175
2024-06-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1392.0,Wedding Season,199
2024-06-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3567.0,Wedding Season,236
2024-06-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3868.0,Wedding Season,197
2024-06-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1150.0,Wedding Season,201
2024-06-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3159.0,Wedding Season,194
2024-06-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4470.0,Wedding Season,187
2024-06-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1216.0,Wedding Season,193
2024-06-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4925.0,Wedding Season,222
2024-06-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1747.0,Wedding Season,239
2024-06-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4969.0,Wedding Season,186
2024-06-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3099.0,Wedding Season,205
2024-06-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1864.0,Wedding Season,200
2024-06-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4548.0,Wedding Season,200
2024-06-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3431.0,Wedding Season,184
2024-06-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4445.0,Wedding Season,218
2024-06-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3244.0,Wedding Season,243
2024-07-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2100.0,Normal Day,158
2024-07-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2549.0,Normal Day,149
2024-07-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4961.0,Normal Day,150
2024-07-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3113.0,Normal Day,165
2024-07-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1525.0,Normal Day,148
2024-07-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4888.0,Normal Day,162
2024-07-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2924.0,Normal Day,179
2024-07-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2931.0,Normal Day,135
2024-07-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1042.0,Normal Day,151
2024-07-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2772.0,Normal Day,146
2024-07-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2556.0,Normal Day,137
2024-07-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2531.0,Normal Day,147
2024-07-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1486.0,Normal Day,171
2024-07-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3501.0,Normal Day,188
2024-07-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1775.0,Normal Day,161
2024-07-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1803.0,Normal Day,127
2024-07-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4616.0,Normal Day,155
2024-07-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3371.0,Normal Day,149
2024-07-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4390.0,Normal Day,152
2024-07-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1203.0,Normal Day,169
2024-07-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3765.0,Normal Day,187
2024-07-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1580.0,Normal Day,168
2024-07-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4180.0,Normal Day,152
2024-07-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3476.0,Normal Day,160
2024-07-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1419.0,Normal Day,149
2024-07-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2801.0,Normal Day,161
2024-07-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2031.0,Normal Day,155
2024-07-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4490.0,Normal Day,169
2024-07-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1113.0,Normal Day,156
2024-07-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2456.0,Normal Day,142
2024-07-31,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1084.0,Normal Day,141
2024-08-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3889.0,Normal Day,157
2024-08-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1926.0,Normal Day,147
2024-08-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2516.0,Normal Day,200
2024-08-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2138.0,Normal Day,184
2024-08-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3496.0,Normal Day,154
2024-08-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1520.0,Normal Day,138
2024-08-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1093.0,Normal Day,161
2024-08-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3191.0,Normal Day,136
2024-08-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1566.0,Normal Day,139
2024-08-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1540.0,Normal Day,168
2024-08-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2042.0,Normal Day,191
2024-08-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2072.0,Normal Day,165
2024-08-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,7376.0,National Sale,386
2024-08-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,5932.0,National Sale,388
2024-08-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,6924.0,National Sale,383
2024-08-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1366.0,Normal Day,142
2024-08-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4206.0,Normal Day,171
2024-08-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2380.0,Normal Day,184
2024-08-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1353.0,Raksha Bandhan,208
2024-08-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2787.0,Normal Day,144
2024-08-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2665.0,Normal Day,167
2024-08-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3508.0,Normal Day,145
2024-08-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3070.0,Normal Day,139
2024-08-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2622.0,Normal Day,172
2024-08-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1631.0,Normal Day,183
2024-08-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2207.0,Normal Day,124
2024-08-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4411.0,Normal Day,155
2024-08-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1218.0,Normal Day,155
2024-08-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2801.0,Normal Day,143
2024-08-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1804.0,Normal Day,152
2024-08-31,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1665.0,Normal Day,176
2024-09-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2829.0,Normal Day,181
2024-09-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4729.0,Normal Day,165
2024-09-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4664.0,Normal Day,160
2024-09-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4915.0,Normal Day,162
2024-09-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1692.0,Normal Day,154
2024-09-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1707.0,Normal Day,155
2024-09-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2054.0,Normal Day,173
2024-09-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2857.0,Normal Day,197
2024-09-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4153.0,Normal Day,165
2024-09-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1519.0,Normal Day,153
2024-09-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1567.0,Normal Day,142
2024-09-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1505.0,Normal Day,146
2024-09-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3463.0,Normal Day,152
2024-09-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3800.0,Normal Day,169
2024-09-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4342.0,Normal Day,201
2024-09-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2704.0,Normal Day,133
2024-09-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4770.0,Normal Day,144
2024-09-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1086.0,Normal Day,133
2024-09-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2132.0,Normal Day,163
2024-09-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3257.0,Normal Day,147
2024-09-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1576.0,Normal Day,181
2024-09-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2692.0,Normal Day,185
2024-09-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4826.0,Normal Day,142
2024-09-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2290.0,Normal Day,142
2024-09-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2277.0,Normal Day,156
2024-09-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4758.0,Normal Day,130
2024-09-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3320.0,Normal Day,151
2024-09-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2724.0,Normal Day,181
2024-09-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2829.0,Normal Day,186
2024-09-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3676.0,Normal Day,160
2024-10-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,7774.0,National Sale,385
